AKPM,Kampen (Sylt) Mitte,Kampen(Sylt)Mitt,,
AKPMD,Kampen (Sylt) Dikstieg,Kampen(Sylt)Diks,,
AKPMK,Kampen (Sylt) Klappholttal,Klappholttal,,
AKPMS,Kampen (Sylt) Süd,Kampen(Sylt)Süd,,
AKPP,Kappeln (Schlei),Kappeln (Schlei),,
AKQ,Kiel-Hassee Bedienstandort,Kiel-Hassee BSO,,
AKRH,Kronshagen,Kronshagen,,
AKRS,Krupunder,Krupunder,,
AKRU,Kiel-Russee,Kiel-Russee,,
AKS,Hamburg Königstraße,Königstraße,,
AKSA,Kiel Süd (Ss),Kiel Süd (Ss),,
AKSC,Kiel Scheerhafen,Kiel Scheerhafen,,
AKSG,Kiel Süd DB-Grenze,Kiel Süd DB-Gr,,
AKSL,Kiel Schulen am Langsee,Kiel S a Langsee,,
AKSS,Kiel Hbf (Ss),Kiel Hbf (Ss),,
AKSU,Kiel Süd,Kiel Süd,,
AKSX,Kiel-Bad Schwartau Strecke ESTW-Z,Kiel-Schwar ESTW,,
AKTH,Kutenholz,Kutenholz,,
AKTK,Kaltenkirchen (Holst),Kaltenk (Holst),,
AKTKD,Kaltenkirchen dodenhof,dodenhof,,
AKTKH,Kaltenkirchen Holstentherme,Holstentherme,,
AKTKS,Kaltenkirchen Süd,Kaltenk Süd,,
AKTO,Kating,Kating,,
AKTOH,Kotzenbüll Hochbohm,Kotzenb Hochbohm,,
AKTOK,Kating Kreuzung,Kating Kreuzung,,
AKUD,Kudensee,Kudensee,,
AKUO,Kupfermühle Ost,Kupfermühle Ost,,
AKUO,Kupfermühle Ost,Kupfermühle Ost,,
AKUP,Kupfermühle,Kupfermühle,,
AKVI,Kiel VST Test- und Integrationssystem 1,Kiel VST TIS1,,
AKVS,Kiel VST Test- und Integrationssystem 3,Kiel VST TIS3,,
AKVU,Kiel VST Test- und Integrationssystem 2,Kiel VST TIS2,,
AKWA,Kiel Wiener Allee,Kiel Wien Allee,,
AKWK,Kiel-Wik,Kiel-Wik,,
AKWKW,Kiel-Wik Werk,Kiel-Wik Werk,,
